month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2024-04,Anxiety Disorders,RaceEthnicity,Hispanic,1964
2024-04,Anxiety Disorders,RaceEthnicity,Multiple/Other,1714
2024-04,Anxiety Disorders,RaceEthnicity,NHOPI,1349
2024-04,Anxiety Disorders,RaceEthnicity,White,3041
2024-04,Anxiety Disorders,Sex,All,2448
2024-04,Anxiety Disorders,Sex,Female,2837
2024-04,Anxiety Disorders,Sex,Male,1981
2024-04,Anxiety Disorders,Total,All,2448
2024-03,Anxiety Disorders,Age,12-17 years,2109
2024-03,Anxiety Disorders,Age,18-34 years,2866
2024-03,Anxiety Disorders,Age,35-64 years,2961
2024-03,Anxiety Disorders,Age,65+ years,2625
2024-03,Anxiety Disorders,Age,All,2447
2024-03,Anxiety Disorders,RaceEthnicity,AI/AN,2821
2024-03,Anxiety Disorders,RaceEthnicity,All,2447
2024-03,Anxiety Disorders,RaceEthnicity,Asian,1425
2024-03,Anxiety Disorders,RaceEthnicity,Black,1545
2024-03,Anxiety Disorders,RaceEthnicity,Hispanic,1936
2024-03,Anxiety Disorders,RaceEthnicity,Multiple/Other,1720
2024-03,Anxiety Disorders,RaceEthnicity,NHOPI,1320
2024-03,Anxiety Disorders,RaceEthnicity,White,3051
2024-03,Anxiety Disorders,Sex,All,2447
2024-03,Anxiety Disorders,Sex,Female,2825
2024-03,Anxiety Disorders,Sex,Male,1999
2024-03,Anxiety Disorders,Total,All,2447
2024-02,Anxiety Disorders,Age,12-17 years,2042
2024-02,Anxiety Disorders,Age,18-34 years,2859
2024-02,Anxiety Disorders,Age,35-64 years,2978
2024-02,Anxiety Disorders,Age,65+ years,2605
2024-02,Anxiety Disorders,Age,All,2438
2024-02,Anxiety Disorders,RaceEthnicity,AI/AN,2885
2024-02,Anxiety Disorders,RaceEthnicity,All,2438
2024-02,Anxiety Disorders,RaceEthnicity,Asian,1462
2024-02,Anxiety Disorders,RaceEthnicity,Black,1518
2024-02,Anxiety Disorders,RaceEthnicity,Hispanic,1947
2024-02,Anxiety Disorders,RaceEthnicity,Multiple/Other,1698
2024-02,Anxiety Disorders,RaceEthnicity,NHOPI,1299
2024-02,Anxiety Disorders,RaceEthnicity,White,3036
2024-02,Anxiety Disorders,Sex,All,2438
2024-02,Anxiety Disorders,Sex,Female,2810
2024-02,Anxiety Disorders,Sex,Male,1996
2024-02,Anxiety Disorders,Total,All,2438
2024-01,Anxiety Disorders,Age,12-17 years,2172
2024-01,Anxiety Disorders,Age,18-34 years,2768
2024-01,Anxiety Disorders,Age,35-64 years,2916
